dt,average
1983-07-01,1626.09
1983-08-01,1628.01
1983-09-01,1638.42
1983-10-01,1644.81
1983-11-01,1642.59
1983-12-01,1639.54
1984-01-01,1638.79
1984-02-01,1638.85
1984-03-01,1640.83
1984-04-01,1643.97
1984-05-01,1643.12
1984-06-01,1639.73
1984-07-01,1638.0
1984-08-01,1641.67
1984-09-01,1650.6
1984-10-01,1654.61
1984-11-01,1653.79
1984-12-01,1656.19
1985-01-01,1655.6
1985-02-01,1652.23
1985-03-01,1654.61
1985-04-01,1658.2
1985-05-01,1655.86
1985-06-01,1650.05
1985-07-01,1646.83
1985-08-01,1652.23
1985-09-01,1662.48
1985-10-01,1667.51
1985-11-01,1666.8
1985-12-01,1666.04
1986-01-01,1666.29
1986-02-01,1666.91
1986-03-01,1669.27
1986-04-01,1670.81
1986-05-01,1668.43
1986-06-01,1664.77
1986-07-01,1662.35
1986-08-01,1664.37
1986-09-01,1672.57
1986-10-01,1678.69
1986-11-01,1678.98
1986-12-01,1679.11
1987-01-01,1679.39
1987-02-01,1679.03
1987-03-01,1680.07
1987-04-01,1681.38
1987-05-01,1681.83
1987-06-01,1679.99
1987-07-01,1675.99
1987-08-01,1677.13
1987-09-01,1685.58
1987-10-01,1691.58
1987-11-01,1691.16
1987-12-01,1690.49
1988-01-01,1692.1
1988-02-01,1692.69
1988-03-01,1691.44
1988-04-01,1690.12
1988-05-01,1689.06
1988-06-01,1687.07
1988-07-01,1685.8
1988-08-01,1689.1
1988-09-01,1695.86
1988-10-01,1701.08
1988-11-01,1702.89
1988-12-01,1702.0
1989-01-01,1700.57
1989-02-01,1701.06
1989-03-01,1702.47
1989-04-01,1703.6
1989-05-01,1703.35
1989-06-01,1700.21
1989-07-01,1698.22
1989-08-01,1701.97
1989-09-01,1707.17
1989-10-01,1710.53
1989-11-01,1713.11
1989-12-01,1713.22
1990-01-01,1712.12
1990-02-01,1713.5
1990-03-01,1714.39
1990-04-01,1712.52
1990-05-01,1710.55
1990-06-01,1708.33
1990-07-01,1706.42
1990-08-01,1710.09
1990-09-01,1717.56
1990-10-01,1722.07
1990-11-01,1723.51
1990-12-01,1723.31
1991-01-01,1721.54
1991-02-01,1721.17
1991-03-01,1722.1
1991-04-01,1722.51
1991-05-01,1722.18
1991-06-01,1718.98
1991-07-01,1716.07
1991-08-01,1719.22
1991-09-01,1726.18
1991-10-01,1732.79
1991-11-01,1737.47
1991-12-01,1739.61
1992-01-01,1738.94
1992-02-01,1737.4
1992-03-01,1736.94
1992-04-01,1736.64
1992-05-01,1734.92
1992-06-01,1731.56
1992-07-01,1728.81
1992-08-01,1730.3
1992-09-01,1734.58
1992-10-01,1737.67
1992-11-01,1739.23
1992-12-01,1738.55
1993-01-01,1735.76
1993-02-01,1734.39
1993-03-01,1735.51
1993-04-01,1736.69
1993-05-01,1734.96
1993-06-01,1730.85
1993-07-01,1728.08
1993-08-01,1731.2
1993-09-01,1738.46
1993-10-01,1743.36
1993-11-01,1745.18
1993-12-01,1744.27
1994-01-01,1741.44
1994-02-01,1740.88
1994-03-01,1741.95
1994-04-01,1741.94
1994-05-01,1740.63
1994-06-01,1736.91
1994-07-01,1732.44
1994-08-01,1734.09
1994-09-01,1742.93
1994-10-01,1749.84
1994-11-01,1751.26
1994-12-01,1751.59
1995-01-01,1751.13
1995-02-01,1749.5
1995-03-01,1749.0
1995-04-01,1749.43
1995-05-01,1747.63
1995-06-01,1742.83
1995-07-01,1740.18
1995-08-01,1743.58
1995-09-01,1749.77
1995-10-01,1754.36
1995-11-01,1755.5
1995-12-01,1753.84
1996-01-01,1752.22
1996-02-01,1752.72
1996-03-01,1752.23
1996-04-01,1749.59
1996-05-01,1748.27
1996-06-01,1746.03
1996-07-01,1742.06
1996-08-01,1744.24
1996-09-01,1752.57
1996-10-01,1758.87
1996-11-01,1760.03
1996-12-01,1756.91
1997-01-01,1753.39
1997-02-01,1753.86
1997-03-01,1755.66
1997-04-01,1755.53
1997-05-01,1753.83
1997-06-01,1750.13
1997-07-01,1746.15
1997-08-01,1747.87
1997-09-01,1755.0
