Date,Approve,Disprove
24-01-2025,51.5,43.0
25-01-2025,51.5,43.0
26-01-2025,51.3,43.3
27-01-2025,51.0,44.1
28-01-2025,50.9,44.5
29-01-2025,50.5,44.8
30-01-2025,50.2,44.6
31-01-2025,49.9,44.7
01-02-2025,49.9,44.7
02-02-2025,49.6,44.6
03-02-2025,49.4,44.8
04-02-2025,49.2,44.8
05-02-2025,49.0,44.9
06-02-2025,48.7,45.0
07-02-2025,48.5,45.1
08-02-2025,48.7,45.2
09-02-2025,48.9,45.3
10-02-2025,49.0,45.5
11-02-2025,48.8,45.7
12-02-2025,48.7,46.1
13-02-2025,48.8,46.0
14-02-2025,48.8,46.0
15-02-2025,48.8,46.0
16-02-2025,48.8,46.0
17-02-2025,48.7,46.1
18-02-2025,49.0,46.5
19-02-2025,49.1,47.1
20-02-2025,49.2,47.8
21-02-2025,49.1,47.8
22-02-2025,49.1,47.8
23-02-2025,49.3,47.5
24-02-2025,49.4,47.5
25-02-2025,49.3,47.5
26-02-2025,49.1,47.5
27-02-2025,48.9,47.4
28-02-2025,48.8,47.6
01-03-2025,48.7,47.8
02-03-2025,48.5,47.5
03-03-2025,48.5,47.5
04-03-2025,48.6,47.4
05-03-2025,48.6,47.4
06-03-2025,48.8,47.5
07-03-2025,48.9,47.5
08-03-2025,48.8,47.6
09-03-2025,48.7,47.8
10-03-2025,48.6,47.9
11-03-2025,48.4,48.1
12-03-2025,48.3,48.1
13-03-2025,47.8,48.5
14-03-2025,47.8,48.5
15-03-2025,48.2,48.4
16-03-2025,48.2,48.4
17-03-2025,47.9,48.6
18-03-2025,47.9,48.5
19-03-2025,47.9,48.8
20-03-2025,47.9,48.8
21-03-2025,47.9,48.8
22-03-2025,47.9,48.8
23-03-2025,47.9,48.8
